Client Name,Client Version,Solution Name,Test Run ID,Scenario Name,Total Time (seconds),Core Restore Time (seconds),Force,Global Packages Folder .nupkg Count,Global Packages Folder .nupkg Size (MB),Global Packages Folder File Count,Global Packages Folder File Size (MB),Clean Global Packages Folder,HTTP Cache File Count,HTTP Cache File Size (MB),Clean HTTP Cache,Plugins Cache File Count,Plugins Cache File Size (MB),Clean Plugins Cache,Kill MSBuild and dotnet Processes,Processor Name,Processor Physical Core Count,Processor Logical Core Count
nuget-5.6.0.exe,5.6.0.6591,OrchardCore,2020-08-30T23:30:36.7348911Z,cold,50.08672,,True,614,249.173068,14489,1563.794158,True,1035,249.519972,False,0,0,False,True,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.6.0.exe,5.6.0.6591,OrchardCore,2020-08-30T23:30:36.7348911Z,force,21.2427091,,True,614,249.173068,14489,1563.794158,False,1035,249.519972,False,0,0,False,False,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.6.0.exe,5.6.0.6591,OrchardCore,2020-08-30T23:30:36.7348911Z,force,22.6060545,,True,614,249.173068,14489,1563.794158,False,1035,249.519972,False,0,0,False,False,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.6.0.exe,5.6.0.6591,OrchardCore,2020-08-30T23:30:36.7348911Z,force,21.6503524,,True,614,249.173068,14489,1563.794158,False,1035,249.519972,False,0,0,False,False,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.6.0.exe,5.6.0.6591,OrchardCore,2020-08-30T23:30:36.7348911Z,noop,9.8374737,,False,614,249.173068,14489,1563.794158,False,1035,249.519972,False,0,0,False,False,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.6.0.exe,5.6.0.6591,OrchardCore,2020-08-30T23:30:36.7348911Z,noop,9.8451057,,False,614,249.173068,14489,1563.794158,False,1035,249.519972,False,0,0,False,False,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.6.0.exe,5.6.0.6591,OrchardCore,2020-08-30T23:30:36.7348911Z,noop,9.8196384,,False,614,249.173068,14489,1563.794158,False,1035,249.519972,False,0,0,False,False,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.7.0.exe,5.7.0.6726,OrchardCore,2020-08-30T23:56:38.4079433Z,warmup,56.9943301,,True,614,249.173068,14489,1563.794158,True,1035,249.519972,True,0,0,True,True,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.7.0.exe,5.7.0.6726,OrchardCore,2020-08-30T23:56:38.4079433Z,arctic,55.8771435,,True,614,249.173068,14489,1563.794158,True,1035,249.519972,True,0,0,True,True,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
nuget-5.7.0.exe,5.7.0.6726,OrchardCore,2020-08-30T23:56:38.4079433Z,arctic,56.0385939,,True,614,249.173068,14489,1563.794158,True,1035,249.519972,True,0,0,True,True,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
